Marca temporal,Sexo,Edad ,Peso en kg (A inicios de la pandemia) Ejemplo: 50.5,Peso en kg (En este momento) Ejemplo: 50.5,Estatura en metros (A inicios de la pandemia) Ejemplo: 1.75,Estatura en metros (En este momento) Ejemplo: 1.75,¿Haces algún deporte?,¿Montas bicicleta?,¿Practicas alguno de estos deportes? Puedes marcar mas de uno.,¿Cuantas horas a la semana le/les dedicas?,¿Con que intensidad lo/los realizas?,¿Cual fue tu principal incentivo para usar la bicicleta?,¿Cuantas horas a la semana le dedicas?,¿Con que intensidad lo practicas?,¿Cuanto has invertido en soles? (Equipo y Bicicleta) Ej: 1500,¿Cual es el tipo de bicicleta que usas regularmente?,¿En que distrito sueles bicicletear?,¿Este distrito cuenta con ciclovías?,¿Sufres de alguno de estos desordenes seguidamente?,¿Consideras que ha/han aumentado por la pandemia? Si respondiste que no deja este rubro SIN marcar,"¿Consideras que montar bicicleta te ha ayudado a disminuir los síntomas de migraña, insomnio o cansancio? Si es que NO montas bicicleta. ¿Que tanto piensas que te ayudaría?"
7/06/2021 16:56:42,Hombre,19,83,84,1.70,1.70,Sí,Si,Otro,6,6,de forma recreativa,5,7,10000,Híbrida,Miraflores,Sí,"Insomnio, Cansancio",Sí,6
7/06/2021 17:04:12,Mujer,20,58,58,1.62,1.62,Sí,Si,Básquetbol,3,5,para mejorar el estado físico,3,8,1000,Montañera,Miraflores,Sí,Cansancio,Sí,4
7/06/2021 17:04:33,Hombre,19,62,67,1.75 ,1.78,Sí,Si,"Futbol, Atletismo, Otro",7,9,para mejorar el estado físico,3,8,1000,Uso más de un tipo,Santiago de Surco,Sí,Cansancio,Sí,4
7/06/2021 17:43:20,Hombre,19,85,75,1.76,1.76,Sí,Si,"Natación, Otro",6,9,para mejorar el estado físico,7,10,3000,Montañera,Ate Vitarte,No,Insomnio,Sí,3
7/06/2021 17:52:32,Hombre,19,68,82,1.70,1.70,No,,,,,,,,,,,,"Insomnio, Cansancio",Sí,5
7/06/2021 18:07:46,Hombre,22,70,78,1.74,1.74,Sí,Si,"Natación, Futbol",8,8,por que es ecológico,3,6,3000,BMX,San Borja,Sí,"Migrañas, Insomnio, Cansancio",No,5
7/06/2021 18:12:41,Mujer,19,49,49,1.54,1.54,Sí,Si,"Natación, Otro",3,6,de forma recreativa,4,9,3000,Montañera,San Miguel,Sí,Cansancio,Sí,4
7/06/2021 18:24:59,Hombre,23,60,66,1.78,1.78,Sí,No,"Futbol, Atletismo, Otro",8,8,,,,,,,,Insomnio,No,1
7/06/2021 18:29:01,Hombre,21,85.3,90.3,1.79,1.79,No,,,,,,,,,,,,Insomnio,No,4
7/06/2021 18:37:11,Mujer,21,48,55,1.65,1.65,Sí,Si,Otro,1,8,de forma recreativa,1,7,4000,Montañera,Los Olivos,No,Insomnio,Sí,6
7/06/2021 19:05:20,Hombre,21,52,56,1.67,1.67,Sí,Si,"Básquetbol, Otro",2,7,de forma recreativa,0.5,2,500,Montañera,Independencia,Sí,Cansancio,Sí,2
7/06/2021 19:10:40,Hombre,18,80,80,1.71,1.71,Sí,Si,Natación,0.5,5,de forma recreativa,2,5,1000,Montañera,Santiago de Surco,Sí,Migrañas,No,4
7/06/2021 19:15:04,Hombre,20,53.7,54.5,1.80,1.80,No,,,,,,,,,,,,Cansancio,Sí,3
7/06/2021 19:22:36,Hombre,18,47,56,1.61,1.63,Sí,Si,Futbol,1,4,Otro medio de transporte,1,4,500,Montañera,Barranco,Sí,"Insomnio, Cansancio",Sí,2
7/06/2021 20:26:16,Mujer,23,65,68,1.61 ,1.61 ,No,,,,,,,,,,,,"Migrañas, Insomnio, Cansancio",Sí,3
